,artist,title,negative,neutral,positive,compound,sentiment_type,joy,anger,sadness,emotion
61,Taylor Swift,So It Goes...,0.083,0.824,0.093,0.6352,POSITIVE,6,11,19,sadness
62,Taylor Swift,False God,0.107,0.606,0.286,0.9981,POSITIVE,30,5,7,joy
63,Taylor Swift,This Is Why We Can’t Have Nice Things,0.11,0.733,0.157,0.979,POSITIVE,14,1,2,joy
64,Taylor Swift,​dorothea,0.104,0.83,0.066,-0.8534,NEGATIVE,0,2,4,sadness
65,Taylor Swift,Afterglow,0.122,0.738,0.14,0.8959,POSITIVE,5,16,28,sadness
66,Taylor Swift,Dancing with Our Hands Tied,0.107,0.749,0.143,0.8364,POSITIVE,17,15,16,joy
67,Taylor Swift,I Think He Knows,0.014,0.769,0.216,0.9971,POSITIVE,22,0,5,joy
68,Taylor Swift,​l​ong story short,0.114,0.771,0.114,-0.7043,NEGATIVE,4,9,11,sadness
69,Taylor Swift,Soon You’ll Get Better,0.044,0.765,0.191,0.9893,POSITIVE,5,3,3,joy
70,Taylor Swift,​marjorie,0.12,0.699,0.181,0.9636,POSITIVE,14,0,0,joy
71,Taylor Swift,You Belong with Me,0.035,0.867,0.097,0.9838,POSITIVE,10,1,3,joy
72,Taylor Swift,Clean,0.065,0.815,0.12,0.9572,POSITIVE,24,1,5,joy
73,Taylor Swift,​closure,0.084,0.726,0.19,0.9774,POSITIVE,10,4,13,sadness
74,Taylor Swift,Out of the Woods,0.012,0.767,0.221,0.9995,POSITIVE,14,4,7,joy
75,Taylor Swift,Shake It Off,0.417,0.492,0.09,-0.9998,NEGATIVE,11,16,20,sadness
76,Taylor Swift,Nothing New (Taylor’s Version) [From the Vault],0.068,0.801,0.131,0.9738,POSITIVE,8,6,5,joy
77,Taylor Swift,​r​ight where you left me,0.137,0.804,0.06,-0.9886,NEGATIVE,5,3,5,joy
78,Taylor Swift,It’s Nice to Have a Friend,0.034,0.646,0.32,0.9948,POSITIVE,10,0,2,joy
79,Taylor Swift,Why She Disappeared [Poem],0.097,0.82,0.083,-0.7127,NEGATIVE,6,6,5,joy
80,Taylor Swift,I Knew You Were Trouble.,0.301,0.675,0.024,-0.9991,NEGATIVE,3,6,8,sadness
81,Taylor Swift,Holy Ground,0.016,0.872,0.112,0.9805,POSITIVE,16,2,7,joy
82,Taylor Swift,We Are Never Ever Getting Back Together,0.058,0.764,0.178,0.9957,POSITIVE,4,2,3,joy
83,Taylor Swift,​it’s time to go,0.03,0.857,0.113,0.9862,POSITIVE,0,2,4,sadness
84,Taylor Swift,22,0.078,0.656,0.266,0.9979,POSITIVE,11,9,10,joy
85,Taylor Swift,New Romantics,0.103,0.641,0.256,0.9984,POSITIVE,18,6,9,joy
86,Taylor Swift,Begin Again,0.044,0.811,0.145,0.993,POSITIVE,6,0,1,joy
87,Taylor Swift,You All Over Me (Taylor’s Version) [From the Vault],0.137,0.709,0.154,0.9014,POSITIVE,11,2,4,joy
88,Taylor Swift,Dear John,0.152,0.745,0.104,-0.9595,NEGATIVE,10,3,8,joy
89,Taylor Swift,State of Grace,0.092,0.662,0.245,0.9961,POSITIVE,11,6,6,joy
90,Taylor Swift,Wonderland,0.112,0.805,0.083,-0.9187,NEGATIVE,15,1,15,joy
91,Taylor Swift,I Bet You Think About Me (Taylor’s Version) [From the Vault],0.07,0.769,0.161,0.9925,POSITIVE,6,2,7,sadness
92,Taylor Swift,You Are in Love,0.047,0.726,0.227,0.9987,POSITIVE,22,2,2,joy
93,Taylor Swift,This Love,0.051,0.42,0.529,0.9999,POSITIVE,61,4,9,joy
94,Taylor Swift,Everything Has Changed,0.009,0.805,0.186,0.9978,POSITIVE,8,1,13,sadness
95,Taylor Swift,Enchanted,0.069,0.777,0.154,0.9858,POSITIVE,17,3,2,joy
96,Taylor Swift,Red,0.099,0.657,0.243,0.9954,POSITIVE,12,7,20,sadness
97,Taylor Swift,I Know Places,0.051,0.901,0.048,-0.4687,NEUTRAL,10,5,4,joy
98,Taylor Swift,Safe & Sound,0.194,0.681,0.125,-0.9435,NEGATIVE,7,3,4,joy
99,Taylor Swift,All You Had to Do Was Stay,0.022,0.85,0.128,0.9934,POSITIVE,2,0,5,sadness
100,Taylor Swift,Love Story (Taylor’s Version),0.057,0.792,0.151,0.993,POSITIVE,19,2,3,joy
101,Taylor Swift,Treacherous,0.09,0.84,0.07,-0.5777,NEGATIVE,4,10,0,anger
102,Taylor Swift,Last Kiss,0.027,0.779,0.194,0.9979,POSITIVE,11,3,1,joy
103,Taylor Swift,Welcome to New York,0.035,0.606,0.359,0.9994,POSITIVE,7,2,2,joy
104,Taylor Swift,Better Man (Taylor’s Version) [From the Vault],0.046,0.641,0.313,0.9996,POSITIVE,7,3,2,joy
105,Taylor Swift,Forever Winter (Taylor’s Version) [From the Vault],0.072,0.856,0.073,0.0711,NEUTRAL,11,5,7,joy
106,Taylor Swift,I Wish You Would,0.032,0.609,0.359,0.9998,POSITIVE,10,9,9,joy
107,Taylor Swift,Mine,0.092,0.748,0.16,0.99,POSITIVE,9,7,5,joy
108,Taylor Swift,If You’re Anything Like Me [Poem],0.106,0.614,0.28,0.9974,POSITIVE,18,9,8,joy
109,Taylor Swift,Reputation [Prologue],0.057,0.777,0.166,0.9974,POSITIVE,21,2,8,joy
110,Taylor Swift,Better Than Revenge,0.085,0.792,0.123,0.973,POSITIVE,10,9,6,joy
111,Taylor Swift,Run (Taylor’s Version) [From the Vault],0.039,0.855,0.106,0.9848,POSITIVE,6,1,5,joy
112,Taylor Swift,Only The Young,0.146,0.806,0.048,-0.9869,NEGATIVE,28,6,2,joy
113,Taylor Swift,Message In A Bottle (Taylor’s Version) [From The Vault],0.041,0.788,0.17,0.9961,POSITIVE,9,2,2,joy
114,Taylor Swift,How You Get the Girl,0.077,0.821,0.102,0.8583,POSITIVE,0,1,9,sadness
115,Taylor Swift,The Moment I Knew,0.088,0.756,0.157,0.9868,POSITIVE,10,1,7,joy
116,Taylor Swift,Back to December,0.056,0.777,0.168,0.9964,POSITIVE,16,1,7,joy
117,Taylor Swift,The Lucky One,0.032,0.755,0.213,0.9966,POSITIVE,22,2,2,joy
118,Taylor Swift,The Last Time,0.034,0.85,0.116,0.99,POSITIVE,0,1,3,sadness
119,Taylor Swift,I Almost Do,0.063,0.846,0.09,0.8085,POSITIVE,4,1,4,joy
120,Taylor Swift,Sad Beautiful Tragic,0.133,0.495,0.372,0.9973,POSITIVE,26,3,2,joy
121,Taylor Swift,Mean,0.089,0.881,0.03,-0.9851,NEGATIVE,3,6,6,anger
122,Taylor Swift,Fifteen,0.008,0.897,0.095,0.9843,POSITIVE,8,0,1,joy
123,Taylor Swift,Fearless,0.031,0.682,0.287,0.9989,POSITIVE,8,4,2,joy
124,Taylor Swift,That’s When (Taylor’s Version) [From the Vault],0.069,0.831,0.1,0.9207,POSITIVE,12,5,5,joy
125,Taylor Swift,Sparks Fly,0.109,0.762,0.128,0.7896,POSITIVE,21,2,4,joy
126,Taylor Swift,Teardrops On My Guitar,0.024,0.847,0.128,0.974,POSITIVE,12,0,1,joy
127,Taylor Swift,Don’t You (Taylor’s Version) [From the Vault],0.104,0.769,0.126,0.8814,POSITIVE,7,1,2,joy
128,Taylor Swift,Innocent,0.072,0.778,0.151,0.9793,POSITIVE,3,0,9,sadness
129,Taylor Swift,Picture to Burn,0.301,0.634,0.064,-0.998,NEGATIVE,5,23,15,anger
130,Taylor Swift,The Story of Us,0.165,0.705,0.13,-0.9814,NEGATIVE,3,16,20,sadness
131,Taylor Swift,We Were Happy (Taylor’s Version) [From the Vault],0.043,0.749,0.208,0.9935,POSITIVE,27,1,4,joy
132,Taylor Swift,The Way I Loved You,0.126,0.648,0.226,0.9955,POSITIVE,10,15,4,anger
133,Taylor Swift,Come Back... Be Here,0.059,0.831,0.11,0.9312,POSITIVE,6,4,14,sadness
134,Taylor Swift,Beautiful Ghosts,0.141,0.727,0.132,0.3869,NEUTRAL,13,2,10,joy
135,Taylor Swift,White Horse,0.042,0.892,0.066,0.8156,POSITIVE,8,2,8,joy
136,Taylor Swift,Starlight,0.027,0.743,0.229,0.9971,POSITIVE,5,3,9,sadness
137,Taylor Swift,Haunted,0.173,0.772,0.055,-0.9949,NEGATIVE,1,1,19,sadness
138,Taylor Swift,Our Song,0.038,0.864,0.098,0.9698,POSITIVE,13,0,8,joy
139,Taylor Swift,Bye Bye Baby (Taylor’s Version) [From the Vault],0.083,0.826,0.091,-0.3837,NEUTRAL,9,5,10,sadness
